Station	250m	500m	1000m
Sherpur	206954	50976	12674
Sheola	123211	30230	7612
Amalshid	131985	32008	8068
Kanaighat	77523	19602	4725
Sylhet	122202	29729	7362
Sunamganj	45229	10452	2540
Khaliajuri	181868	44679	11071
Jariajanjail	67417	15936	3863
Durgapur	21852	4575	1153
Nakuagaon	4193	393	93
Markuli	186901	45781	11448
Habiganj	272203	66565	16563
Ballah	329016	79650	19873
Moulvibazar	245329	60357	15101
Kamalganj	282757	68941	17240
Manu-RB	264128	64857	16229
Sarighat	42806	10143	2612
Lourergarh	5924	785	185
Bhairabbazar	330149	50145	15224
